"265,0,0,-1",2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
"298,0,0,-1",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
"178,0,1,10",7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
"153,0,1,10",2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"169,0,0,-1",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
"80,0,1,-1",2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0
"53,0,4,-1",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0
"50,0,3,-1",6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
"37,0,1,-1",6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
"26,0,1,-1",7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0
"17,0,1,-1",2.0,3.0,9.0,9.0,9.0,9.0,9.0,4.0,10.0
"16,0,1,-1",2.0,3.0,4.0,4.0,9.0,9.0,9.0,8.0,10.0
"16,0,1,10",2.0,3.0,4.0,4.0,9.0,9.0,9.0,4.0,9.0
"25,0,1,10",2.0,3.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0
"36,0,1,10",3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
"17,0,1,10",2.0,3.0,13.0,13.0,13.0,13.0,13.0,2.0,13.0
"116,0,1,-1",3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0
"117,0,1,10",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"265,0,0,10",5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0
"73,0,0,-1",4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0
"20,0,1,-1",2.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,10.0
"145,0,1,10",2.0,2.0,2,2,2,2,2,1.0,2
"196,0,1,-1",2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0
"196,0,1,10",2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
"197,0,1,-1",1,1,1,1,1,1,1,1,1
"194,0,0,-1",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
"1,0,0,10",1.0,1.0,29.0,29.0,29.0,29.0,29.0,1.0,29.0
"170,0,1,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"260,0,0,10",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"360,0,1,10",7.0,7.0,7.0,0.0,0.0,2.0,7.0,7.0,7.0
"274,0,3,-1",2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0
"305,0,0,-1",2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
"305,0,0,10",2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"325,0,1,10",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
